Student,Skill1,Skill2,Skill3,Skill4
S1,4,4,3,3
S2,1,4,3,2
S3,2,2,3,2
S4,2,3,4,1
S5,4,4,4,2
S6,1,3,2,4
S7,4,3,4,3
S8,2,3,3,1
S9,2,3,1,4
S10,4,4,4,1
S11,2,1,2,2
S12,2,3,3,3
S13,2,2,3,2
S14,1,2,1,1
S15,2,2,3,1
S16,3,3,3,3
S17,3,3,2,2
S18,3,4,4,1
S19,2,2,1,1
S20,3,2,3,4
S21,3,3,1,3
S22,4,2,3,1
S23,4,2,2,2
S24,3,3,3,2
S25,1,1,2,2
S26,1,2,2,1
S27,3,4,3,1
S28,3,3,3,3
S29,4,2,3,3
S30,2,3,2,1
S31,3,2,2,3
S32,4,4,4,4
S33,1,1,2,2
S34,3,3,2,2
S35,4,4,4,4
S36,2,1,3,1
S37,1,1,3,2
S38,3,1,1,3
S39,4,3,4,3
S40,4,4,4,2
S41,3,2,4,3
S42,2,3,1,2
S43,2,1,3,2
S44,3,1,2,3
S45,1,3,1,3
S46,2,3,4,2
S47,1,1,1,3
S48,2,1,1,2
S49,2,2,3,3
S50,2,4,3,2
S51,4,4,4,4
S52,1,1,2,1
S53,3,3,3,3
S54,3,4,3,1
S55,1,2,1,2
S56,4,4,4,4
S57,2,2,2,3
S58,2,3,2,2
S59,3,4,3,4
S60,4,4,3,3
S61,2,3,3,4
S62,2,3,2,2
S63,3,3,2,2
S64,4,3,4,3
S65,2,2,2,3
S66,4,3,3,2
S67,4,4,4,3
S68,2,2,4,3
S69,2,3,3,3
S70,3,2,2,1
S71,2,1,2,3
S72,1,2,1,2
S73,3,3,4,4
S74,1,2,2,2
S75,3,2,3,3
S76,1,2,2,4
S77,2,3,4,1
S78,4,4,2,1
S79,2,3,1,2
S80,2,3,4,1
S81,3,3,2,3
S82,1,3,3,3
S83,3,3,2,4
S84,3,3,2,1
S85,3,4,2,2
S86,2,3,4,3
S87,2,2,3,2
S88,2,2,3,1
S89,4,4,3,3
S90,3,4,4,3
S91,1,2,2,2
S92,1,3,3,4
S93,2,2,3,2
S94,3,4,4,4
S95,2,3,3,3
S96,2,3,2,4
S97,2,3,2,2
S98,3,3,3,3
S99,3,3,4,4
S100,2,4,4,2
S101,3,3,3,3
S102,3,3,2,2
S103,1,2,3,1
S104,4,4,4,3
S105,2,2,4,3
S106,2,4,2,2
S107,2,3,3,3
S108,3,2,4,2
S109,2,2,3,4
S110,1,2,3,3
S111,1,2,3,2
S112,4,4,4,2
S113,2,2,3,2
S114,4,4,4,3
S115,3,2,2,4
S116,3,3,3,1
S117,2,3,4,3
S118,3,4,3,3
S119,1,2,3,3
S120,3,3,4,4
S121,3,3,2,2
S122,3,4,3,2
S123,1,2,1,2
S124,3,2,2,3
S125,2,1,4,2
S126,3,3,4,4
S127,2,4,4,1
S128,3,2,3,3
S129,2,2,1,2
S130,1,2,1,2
S131,3,3,4,2
S132,2,2,3,2
S133,2,3,3,4
S134,2,2,3,1
S135,3,2,2,1
S136,1,2,3,1
S137,4,4,4,4
S138,3,2,1,4
S139,4,4,4,3
S140,3,3,1,3
S141,4,4,4,4
S142,3,2,1,2
S143,2,3,3,2
S144,4,4,4,4
S145,3,3,2,3
S146,1,2,1,2
S147,4,4,3,1
S148,2,2,3,1
S149,4,3,4,3
S150,1,3,4,4
S151,1,1,2,2
S152,3,3,3,4
S153,4,3,4,1
S154,2,2,4,2
S155,1,1,3,3
S156,3,3,3,3
S157,2,1,1,1
S158,1,2,2,4
S159,2,2,2,1
S160,1,1,1,3
