Student,Subject1,Subject2,Subject3,Subject4,Subject5
S1,1,3,3,3,2
S2,1,1,1,1,1
S3,1,1,1,1,1
S4,3,1,1,1,3
S5,1,3,1,1,1
S6,1,2,1,2,1
S7,3,3,1,1,3
S8,1,2,1,1,1
S9,1,2,2,2,1
S10,1,2,2,1,2
S11,2,1,2,1,1
S12,2,2,4,2,4
S13,1,1,1,3,3
S14,1,2,1,1,1
S15,3,3,2,2,4
S16,3,2,2,2,1
S17,1,3,2,2,3
S18,2,4,1,2,2
S19,1,1,1,1,1
S20,2,1,3,2,1
S21,3,2,2,3,1
S22,4,3,4,1,1
S23,3,2,1,1,1
S24,1,1,3,1,1
S25,1,1,2,2,3
S26,3,1,1,1,1
S27,3,4,2,3,3
S28,1,1,3,1,3
S29,3,3,3,3,1
S30,1,1,1,1,2
S31,4,3,5,3,1
S32,3,2,4,3,4
S33,1,1,1,1,1
S34,1,2,1,1,2
S35,3,2,4,3,4
S36,3,1,1,2,2
S37,2,1,3,2,3
S38,3,1,4,1,1
S39,3,2,1,3,2
S40,2,1,2,1,1
S41,4,1,5,5,4
S42,2,1,2,1,3
S43,1,2,1,1,1
S44,1,1,4,4,2
S45,1,1,1,3,1
S46,1,1,1,3,1
S47,1,1,1,3,1
S48,1,1,1,1,1
S49,1,3,2,5,3
S50,1,2,1,1,2
S51,3,4,5,5,4
S52,2,1,1,2,2
S53,1,2,2,4,5
S54,2,4,2,3,3
S55,1,1,3,2,1
S56,2,4,3,3,3
S57,1,1,1,3,1
S58,1,1,1,1,1
S59,1,2,2,2,3
S60,3,3,3,4,5
S61,1,1,1,2,3
S62,2,2,2,2,1
S63,1,2,2,1,3
S64,4,5,2,4,3
S65,1,2,1,2,1
S66,1,1,2,2,4
S67,3,3,3,4,3
S68,3,3,2,1,4
S69,3,3,1,2,3
S70,2,2,2,1,2
S71,1,1,3,3,1
S72,1,3,1,2,1
S73,4,2,1,2,4
S74,1,2,1,1,1
S75,3,1,2,4,3
S76,2,1,2,3,2
S77,3,1,1,1,1
S78,2,2,3,1,2
S79,1,1,1,1,1
S80,1,1,1,2,3
S81,1,3,2,1,5
S82,1,3,1,2,2
S83,1,2,4,1,1
S84,1,1,1,3,2
S85,1,3,5,3,2
S86,3,1,1,2,3
S87,1,1,1,1,1
S88,1,1,1,1,1
S89,3,3,3,2,2
S90,2,3,3,1,4
S91,1,1,1,1,1
S92,1,2,1,2,1
S93,2,1,1,2,3
S94,3,1,2,3,3
S95,2,2,3,4,3
S96,2,2,2,3,2
S97,1,2,1,2,2
S98,3,1,1,2,3
S99,2,2,3,2,1
S100,3,1,3,3,4
S101,3,2,2,3,1
S102,1,3,1,2,2
S103,2,1,1,1,2
S104,4,4,5,2,2
S105,2,2,1,1,2
S106,4,2,2,2,3
S107,2,1,1,4,3
S108,4,1,2,3,4
S109,1,1,4,2,3
S110,1,1,1,2,4
S111,1,1,1,1,2
S112,2,4,3,2,1
S113,1,1,1,1,1
S114,5,3,3,4,3
S115,3,1,1,1,1
S116,2,1,1,1,3
S117,2,1,1,1,1
S118,2,2,3,1,4
S119,1,1,1,1,3
S120,1,2,1,2,1
S121,1,1,3,1,2
S122,1,1,4,2,2
S123,2,1,1,2,3
S124,2,1,1,1,1
S125,1,1,3,2,1
S126,2,1,2,3,2
S127,1,2,1,1,2
S128,2,1,1,1,1
S129,2,1,4,1,1
S130,1,1,1,3,1
S131,2,2,2,1,4
S132,1,2,1,2,2
S133,1,2,1,1,3
S134,2,2,2,2,2
S135,1,1,2,1,1
S136,2,1,1,1,2
S137,1,3,1,4,2
S138,1,3,2,2,1
S139,3,5,4,4,5
S140,1,4,1,1,3
S141,2,3,2,2,2
S142,1,1,1,2,1
S143,1,1,4,1,3
S144,5,2,2,2,2
S145,2,2,2,1,3
S146,1,1,1,1,1
S147,2,3,1,3,3
S148,3,1,1,1,1
S149,3,3,4,2,1
S150,1,1,3,3,5
S151,1,1,2,1,1
S152,3,4,5,5,3
S153,2,1,1,2,2
S154,2,1,1,1,3
S155,3,1,2,1,2
S156,2,2,2,1,2
S157,1,1,1,1,1
S158,1,1,3,4,2
S159,1,1,1,1,2
S160,1,1,1,1,1
S161,2,1,3,3,1
S162,3,1,1,1,1
S163,1,1,2,1,1
S164,2,2,3,2,2
S165,1,2,4,3,2
S166,2,1,3,1,1
S167,1,2,1,2,1
S168,1,1,1,1,1
S169,3,2,1,1,2
S170,3,4,1,5,5
S171,1,1,1,1,1
S172,1,3,2,1,2
S173,2,1,3,2,2
S174,4,3,2,4,3
S175,2,4,1,2,1
S176,1,2,5,4,3
S177,1,2,1,1,3
S178,1,2,3,1,1
S179,3,5,4,5,3
S180,1,3,3,1,2
S181,3,2,1,2,2
S182,2,2,1,1,1
S183,3,1,4,2,1
S184,1,1,1,2,1
S185,2,1,1,2,3
S186,2,1,1,2,1
S187,1,1,1,1,1
S188,1,2,1,3,3
S189,1,5,1,2,1
S190,1,1,3,1,1
S191,3,5,4,3,3
S192,2,3,3,3,2
S193,1,1,2,1,2
S194,4,3,5,4,2
S195,4,3,4,3,3
S196,1,1,1,2,1
S197,1,1,1,1,2
S198,2,3,5,3,2
S199,2,2,1,1,4
S200,1,2,1,1,1
S201,2,2,3,3,2
S202,1,1,1,1,3
S203,4,3,1,1,2
S204,1,2,1,2,2
S205,4,2,1,2,2
S206,2,2,2,1,2
S207,2,1,1,2,2
S208,1,1,3,1,2
S209,5,2,4,3,3
S210,1,1,1,2,3
S211,3,1,3,2,2
S212,1,3,1,2,3
S213,1,1,1,1,1
S214,2,1,1,2,2
S215,1,1,2,3,1
S216,2,1,1,1,1
S217,1,1,3,1,3
S218,2,2,2,4,3
S219,1,1,1,2,2
S220,4,3,1,1,4
S221,4,1,2,1,2
S222,2,2,3,4,2
S223,2,3,2,2,1
S224,2,3,3,4,3
S225,4,1,1,1,1
S226,1,1,1,1,1
S227,1,1,1,1,2
S228,1,3,3,1,2
S229,1,1,1,1,2
S230,1,1,1,1,2
S231,2,4,1,1,2
S232,2,1,1,2,2
S233,3,2,2,3,3
S234,1,1,2,2,2
S235,1,3,1,1,3
S236,2,1,1,4,2
S237,4,1,1,2,3
S238,3,3,1,3,4
S239,1,1,1,3,1
S240,2,1,2,1,1
S241,2,2,1,1,1
S242,1,3,1,1,3
S243,1,1,2,2,1
S244,2,1,3,2,2
S245,3,4,1,3,3
S246,2,1,1,4,1
S247,1,1,1,1,1
S248,3,3,3,2,4
S249,2,1,1,2,1
S250,2,2,1,1,3
S251,3,3,5,3,1
S252,2,2,1,3,3
S253,1,1,2,1,3
S254,1,3,2,1,2
S255,3,4,1,1,2
S256,2,4,2,3,3
S257,2,1,2,1,1
S258,1,1,2,3,4
S259,3,3,1,2,2
S260,3,2,1,2,2
S261,1,3,1,1,1
S262,1,3,2,1,3
S263,2,2,4,2,4
S264,1,2,1,2,1
S265,3,1,2,3,2
S266,4,2,5,4,2
S267,2,1,3,2,2
S268,1,1,1,1,1
S269,2,2,3,4,2
S270,1,1,2,1,1
S271,1,1,2,1,1
S272,1,2,1,2,1
S273,2,2,1,1,1
S274,2,2,4,1,2
S275,2,2,3,4,2
S276,1,2,3,1,1
S277,2,3,5,3,2
S278,3,1,2,2,1
S279,1,3,1,2,3
S280,3,4,2,2,5
S281,2,1,2,1,1
S282,1,3,2,1,3
S283,2,3,4,4,4
S284,2,3,2,2,3
S285,2,3,2,2,3
S286,1,1,2,1,2
S287,1,1,3,1,1
S288,2,1,3,1,3
S289,1,2,1,1,1
S290,3,2,2,1,1
S291,1,1,2,2,1
S292,2,1,1,1,1
S293,4,1,1,2,2
S294,2,1,3,1,1
S295,3,1,2,2,1
S296,4,4,4,2,2
S297,2,3,2,2,2
S298,1,1,1,2,1
S299,1,2,2,1,2
S300,1,1,3,1,1
