Student,Skill1,Skill2,Skill3,Skill4,Subject1,Subject2,Subject3,Subject4,Subject5
T1,4,1,2,3,4,4,5,2,1
T2,2,3,3,3,1,5,1,5,1
T3,4,4,3,3,4,5,5,1,1
T4,4,2,1,4,1,3,1,2,5
T5,3,2,4,4,4,1,4,1,2
T6,1,1,3,4,5,5,5,3,2
T7,4,1,2,4,5,1,5,4,2
T8,4,4,4,2,4,4,5,4,2
T9,4,3,2,2,2,2,3,4,3
T10,3,2,4,4,4,3,1,5,4
T11,2,2,1,4,5,5,5,4,4
T12,1,1,4,1,3,3,4,3,4
T13,2,1,1,4,1,5,4,2,3
T14,4,2,1,1,2,2,3,1,5
T15,3,3,3,1,1,3,4,3,5
T16,2,2,3,3,2,2,5,2,1
T17,1,3,4,2,2,5,4,5,2
T18,4,3,1,2,4,5,1,4,2
T19,1,1,2,1,3,2,4,4,3
T20,4,1,1,2,4,1,2,1,5
T21,4,3,2,2,3,1,3,1,3
T22,2,2,2,2,4,2,1,1,2
T23,2,3,2,2,4,3,1,3,3
T24,3,1,3,4,5,1,2,5,2
T25,1,3,4,3,3,5,2,1,3
T26,4,1,1,1,5,2,1,3,1
T27,4,4,2,2,1,2,4,3,1
T28,1,1,2,1,4,2,3,5,1
T29,4,4,1,4,3,3,1,4,2
T30,2,1,4,4,2,3,1,2,4
T31,4,1,3,4,4,2,5,4,5
T32,1,2,3,3,1,5,4,2,1
T33,1,3,2,4,1,3,5,5,5
T34,4,1,4,2,3,1,3,2,3
T35,2,4,4,2,1,3,5,3,5
T36,3,1,2,4,4,1,5,1,2
T37,1,4,4,3,3,2,2,4,5
T38,1,4,2,3,5,1,5,2,3
T39,4,4,4,1,1,4,4,3,4
T40,3,2,2,1,5,3,3,4,4
T41,2,3,4,1,1,1,5,2,3
T42,4,1,1,3,2,4,2,1,2
T43,4,4,4,3,5,3,1,3,5
T44,2,4,1,3,1,3,3,5,4
T45,2,1,2,4,5,2,2,2,5
T46,1,1,3,1,4,4,3,5,4
T47,3,1,2,2,1,4,3,3,1
T48,2,4,3,4,3,3,5,4,5
T49,1,4,3,3,1,3,1,3,1
T50,2,1,1,1,2,5,5,2,1
T51,2,1,3,3,3,1,3,5,5
T52,2,3,1,1,3,4,5,2,4
T53,2,3,2,1,5,5,4,4,1
T54,4,2,3,1,5,3,2,3,3
T55,1,3,3,2,1,1,5,4,1
T56,4,3,1,1,5,1,1,3,4
T57,4,1,1,4,4,3,5,2,2
T58,1,2,2,3,3,4,1,2,5
T59,2,3,1,4,3,3,4,2,1
T60,1,1,4,1,3,2,2,3,3
T61,4,1,2,1,2,3,3,5,5
T62,1,4,2,4,2,1,2,1,3
T63,1,3,4,3,4,2,5,1,4
T64,2,4,4,3,5,2,2,3,5
T65,2,3,2,4,2,1,4,1,4
T66,3,3,3,4,2,5,2,5,2
T67,2,4,2,3,3,4,1,1,3
T68,1,1,4,1,5,5,1,5,3
T69,1,3,4,4,2,1,1,4,5
T70,4,1,3,3,2,4,3,4,2
T71,4,3,2,1,5,3,2,2,5
T72,2,3,2,2,2,3,1,1,4
T73,3,2,2,2,1,5,4,5,5
T74,1,1,2,3,2,4,5,3,1
T75,4,4,4,1,4,4,1,1,1
T76,1,3,4,1,3,1,1,4,4
T77,4,3,2,4,5,4,5,1,3
T78,4,1,2,2,4,1,2,3,3
T79,4,3,1,1,1,3,5,4,3
T80,1,2,4,1,3,2,2,5,3
T81,4,2,3,1,4,1,5,4,1
T82,2,1,3,3,4,1,4,1,3
T83,2,1,2,2,4,4,5,2,2
T84,2,3,3,2,4,2,2,2,3
T85,4,2,2,4,4,3,1,2,1
T86,1,2,2,4,5,5,5,3,5
T87,3,2,4,4,1,1,2,3,1
T88,2,1,4,4,4,3,4,3,5
T89,3,2,1,2,5,1,4,5,3
T90,4,3,3,1,4,3,5,4,2
T91,1,1,1,4,1,3,4,4,2
T92,1,3,3,2,1,2,3,3,2
T93,4,1,1,2,5,5,1,5,2
T94,3,1,4,3,4,4,2,1,3
T95,1,1,3,2,4,5,3,1,2
T96,1,3,4,3,1,1,3,2,2
T97,3,2,1,3,1,2,3,2,4
T98,2,2,4,3,1,2,1,1,1
T99,4,3,4,4,3,1,5,1,4
T100,1,3,3,3,3,1,2,5,5
